Tool,Home,Description,Collection,Topics,Functions,Input (type),Input (format),Output (type),Output (format),Reference,Docs,Terms of use,Helpdesk,Contact,Owner (GTL),Cluster,Tool Group,Maturity
Ensembl Genomes Metazoa data slicer,http://metazoa.ensembl.org/tools.html,Get a subset of data from a BAM | VCF file,EBI Tools|Ensembl Tools,Data management (topic_3071)|NGS (topic_3168)|Nucleic acids (topic_0077),Sequence file editing (operation_2121),Sequence alignment (data_0863)|Sequence variations (data_3498)|Sequence coordinates (data_2012),BAM (format_2572)|VCF (format_3016), ,BAM (format_2572)|VCF (format_3016),PMID:26578605,http://metazoa.ensembl.org/info/website/help/index.html,http://www.ebi.ac.uk/about/terms-of-use,helpdesk@ensemblgenomes.org,Ensembl Genomes webteam (eg-webteam@ebi.ac.uk),Paul Kersey,GGV,B,Established
Ensembl Genomes Metazoa ID history converter,http://metazoa.ensembl.org/tools.html,Convert a set of Ensembl IDs from a previous release into their current equivalents,EBI Tools|Ensembl Tools,Data identity and mapping (topic_3345),ID mapping (operation_3282),Ensembl IDs (data_2610), ,Ensembl IDs (data_2610), ,PMID:26582918,http://metazoa.ensembl.org/info/website/help/index.html,http://www.ebi.ac.uk/about/terms-of-use,helpdesk@ensemblgenomes.org,Ensembl Genomes webteam (eg-webteam@ebi.ac.uk),Paul Kersey,GGV,B,Established
Ensembl Genomes Metazoa sequence search,http://metazoa.ensembl.org/Multi/enasearch,Searches Ensembl Metazoa sequences using Exonerate,EBI Tools|Ensembl Tools,Sequence analysis (topic_0080)|Nucleic acids (topic_0077)|Proteins (topic_0078),Sequence similarity search (operation_0346),Sequences (data_2044),FASTA (format_1929),Sequence alignment (data_0863), ,PMID:26578590,http://metazoa.ensembl.org/info/website/help/index.html,http://www.ebi.ac.uk/about/terms-of-use,helpdesk@ensemblgenomes.org,Ensembl Genomes webteam (eg-webteam@ebi.ac.uk),Paul Kersey,GGV,B,Established
Ensembl Genomes Metazoa VEP,http://metazoa.ensembl.org/tools.html,Upload a set of SNPs in our standard format and export a file containing consequence types,EBI Tools|Ensembl Tools,Genetic variation (topic_0199)|Nucleic acids (topic_0077)|NGS (topic_3168),Variant classification (operation_3225),Sequence variations (data_3498),Ensembl variation file format (format_3499)|VCF (format_3016),Report (data_2048),Textual format (format_2330)|HTML (format_2331),PMID:26582916,http://metazoa.ensembl.org/info/website/help/index.html,http://www.ebi.ac.uk/about/terms-of-use,helpdesk@ensemblgenomes.org,Ensembl Genomes webteam (eg-webteam@ebi.ac.uk),Paul Kersey,GGV,B,Established
Ensembl Genomes Plants assembly converter,http://plants.ensembl.org/tools.html,Map your data to the current assembly,EBI Tools|Ensembl Tools,Nucleic acids (topic_0077)|NGS (topic_3168),Read mapping (operation_3198),Genomic features (data_1276),GFF (format_2305)|GTF (format_2306)|BED (format_3003)|PSL (format_3007), ,GFF (format_2305),PMID:26578575,http://plants.ensembl.org/info/website/help/index.html,http://www.ebi.ac.uk/about/terms-of-use,helpdesk@ensemblgenomes.org,Ensembl Genomes webteam (eg-webteam@ebi.ac.uk),Paul Kersey,GGV,B,Established
Ensembl Genomes Plants Blast,http://plants.ensembl.org/Multi/blastview,Search Ensembl Plants sequences with NCBI-BLAST,EBI Tools|Ensembl Tools,Sequence analysis (topic_0080)|Nucleic acids (topic_0077)|Proteins (topic_0078),Sequence similarity search (operation_0346),Sequences (data_2044),FASTA (format_1929),Sequence alignment (data_0863)|Sequence search results (data_0857), ,PMID:26578580,http://plants.ensembl.org/info/website/help/index.html,http://www.ebi.ac.uk/about/terms-of-use,helpdesk@ensemblgenomes.org,Ensembl Genomes webteam (eg-webteam@ebi.ac.uk),Paul Kersey,GGV,B,Established
Ensembl Genomes Plants data slicer,http://plants.ensembl.org/tools.html,Get a subset of data from a BAM | VCF file,EBI Tools|Ensembl Tools,Data management (topic_3071)|Nucleic acids (topic_0077)|NGS (topic_3168),Sequence file editing (operation_2121),Sequence alignment (data_0863)|Sequence variations (data_3498)|Sequence coordinates (data_2012),BAM (format_2572)|VCF (format_3016), ,BAM (format_2572)|VCF (format_3016),PMID:26578582,http://plants.ensembl.org/info/website/help/index.html,http://www.ebi.ac.uk/about/terms-of-use,helpdesk@ensemblgenomes.org,Ensembl Genomes webteam (eg-webteam@ebi.ac.uk),Paul Kersey,GGV,B,Established
Ensembl Genomes Plants ID history converter,http://plants.ensembl.org/tools.html,Convert a set of Ensembl IDs from a previous release into their current equivalents,EBI Tools|Ensembl Tools,Data identity and mapping (topic_3345),ID mapping (operation_3282),Ensembl IDs (data_2610), ,Ensembl IDs (data_2610), ,PMID:26582928,http://plants.ensembl.org/info/website/help/index.html,http://www.ebi.ac.uk/about/terms-of-use,helpdesk@ensemblgenomes.org,Ensembl Genomes webteam (eg-webteam@ebi.ac.uk),Paul Kersey,GGV,B,Established
Ensembl Genomes Plants sequence search,http://plants.ensembl.org/Multi/enasearch,Search Ensembl Plants sequences with Exonerate,EBI Tools|Ensembl Tools,Sequence analysis (topic_0080)|Nucleic acids (topic_0077)|Proteins (topic_0078),Sequence similarity search (operation_0346),Sequences (data_2044),FASTA (format_1929),Sequence alignment (data_0863)|Sequence search results (data_0857), ,PMID:26582924,http://plants.ensembl.org/info/website/help/index.html,http://www.ebi.ac.uk/about/terms-of-use,helpdesk@ensemblgenomes.org,Ensembl Genomes webteam (eg-webteam@ebi.ac.uk),Paul Kersey,GGV,B,Established
Ensembl Genomes Plants VEP,http://plants.ensembl.org/tools.html,Upload a set of SNPs in our standard format and export a file containing consequence types,EBI Tools|Ensembl Tools,Genetic variation (topic_0199)|Nucleic acids (topic_0077)|NGS (topic_3168),Variant classification (operation_3225),Sequence variations (data_3498),Ensembl variation file format (format_3499)|VCF (format_3016),Report (data_2048),Textual format (format_2330)|HTML (format_2331),PMID:26578601,http://plants.ensembl.org/info/website/help/index.html,http://www.ebi.ac.uk/about/terms-of-use,helpdesk@ensemblgenomes.org,Ensembl Genomes webteam (eg-webteam@ebi.ac.uk),Paul Kersey,GGV,B,Established
Ensembl Genomes Protists assembly converter,http://protists.ensembl.org/tools.html,Map your data to the current assembly,EBI Tools|Ensembl Tools,Nucleic acids (topic_0077)|NGS (topic_3168),Read mapping (operation_3198),Genomic features (data_1276),GFF (format_2305)|GTF (format_2306)|BED (format_3003)|PSL (format_3007), ,GFF (format_2305),PMID:26578585,http://protists.ensembl.org/info/website/help/index.html,http://www.ebi.ac.uk/about/terms-of-use,helpdesk@ensemblgenomes.org,Ensembl Genomes webteam (eg-webteam@ebi.ac.uk),Paul Kersey,GGV,B,Established
Ensembl Genomes Protists Blast,http://protists.ensembl.org/Multi/blastview,Searches Ensembl Protists sequences using NCBI-BLAST,EBI Tools|Ensembl Tools,Sequence analysis (topic_0080)|Nucleic acids (topic_0077)|Proteins (topic_0078),Sequence similarity search (operation_0346),Sequences (data_2044),FASTA (format_1929),Sequence alignment (data_0863), ,PMID:26586809,http://protists.ensembl.org/info/website/help/index.html,http://www.ebi.ac.uk/about/terms-of-use,helpdesk@ensemblgenomes.org,Ensembl Genomes webteam (eg-webteam@ebi.ac.uk),Paul Kersey,GGV,B,Established
Ensembl Genomes Protists data slicer,http://protists.ensembl.org/tools.html,Get a subset of data from a BAM | VCF file,EBI Tools|Ensembl Tools,Data management (topic_3071)|NGS (topic_3168)|Nucleic acids (topic_0077),Sequence file editing (operation_2121),Sequence alignment (data_0863)|Sequence variations (data_3498)|Sequence coordinates (data_2012),BAM (format_2572)|VCF (format_3016), ,BAM (format_2572)|VCF (format_3016),PMID:26602686,http://protists.ensembl.org/info/website/help/index.html,http://www.ebi.ac.uk/about/terms-of-use,helpdesk@ensemblgenomes.org,Ensembl Genomes webteam (eg-webteam@ebi.ac.uk),Paul Kersey,GGV,B,Established
Ensembl Genomes Protists ID history converter,http://protists.ensembl.org/tools.html,Convert a set of Ensembl IDs from a previous release into their current equivalents,EBI Tools|Ensembl Tools,Data identity and mapping (topic_3345),ID mapping (operation_3282),Ensembl IDs (data_2610), ,Ensembl IDs (data_2610), ,PMID:26582927,http://protists.ensembl.org/info/website/help/index.html,http://www.ebi.ac.uk/about/terms-of-use,helpdesk@ensemblgenomes.org,Ensembl Genomes webteam (eg-webteam@ebi.ac.uk),Paul Kersey,GGV,B,Established
Ensembl Genomes Protists sequence search,http://protists.ensembl.org/Multi/enasearch,Searches Ensembl Protists sequences using Exonerate,EBI Tools|Ensembl Tools,Sequence analysis (topic_0080)|Nucleic acids (topic_0077)|Proteins (topic_0078),Sequence similarity search (operation_0346),Sequences (data_2044),FASTA (format_1929),Sequence alignment (data_0863), ,PMID:26586808,http://protists.ensembl.org/info/website/help/index.html,http://www.ebi.ac.uk/about/terms-of-use,helpdesk@ensemblgenomes.org,Ensembl Genomes webteam (eg-webteam@ebi.ac.uk),Paul Kersey,GGV,B,Established
Ensembl Genomes Protists VEP,http://protists.ensembl.org/tools.html,Upload a set of SNPs in our standard format and export a file containing consequence types,EBI Tools|Ensembl Tools,Genetic variation (topic_0199)|Nucleic acids (topic_0077)|NGS (topic_3168),Variant classification (operation_3225),Sequence variations (data_3498),Ensembl variation file format (format_3499)|VCF (format_3016),Report (data_2048),Textual format (format_2330)|HTML (format_2331),PMID:26582920,http://protists.ensembl.org/info/website/help/index.html,http://www.ebi.ac.uk/about/terms-of-use,helpdesk@ensemblgenomes.org,Ensembl Genomes webteam (eg-webteam@ebi.ac.uk),Paul Kersey,GGV,B,Established
Ensembl Sequence Search (BLAT and BLAST),http://www.ensembl.org/Multi/Tools/Blast,"Sequence similarity searching against genomic, cds, cdna and protein sequence. BLAT is available for genomic sequence and NCBI-Blast is used for BLASTing",EBI tools|Ensembl Tools,Sequence analysis (topic_0080)|Nucleic acids (topic_0077)|Proteins (topic_0078),Sequence similarity search (operation_0346),Sequence (data_2044),FASTA,Sequence search results (data_0857),HTML (format_2331),PMID:25352552,http://www.ensembl.org/Help/View?id=451,http://www.ebi.ac.uk/about/terms-of-use,http://www.ensembl.org/Help/Contact,Andrew Yates (ayates@ebi.ac.uk),Andy Yates,GGV,B,Established
EnzymePortal - Protein sequence search,http://www.ebi.ac.uk/enzymeportal/advanceSearch,Advanced search of the EnzymePortal,EBI Tools,Sequence analysis (topic_0080)|Enzymes (topic_0821)|Proteins (topic_0078),Database search (operation_2421)|Query and retrieval (operation_0224),,,,,PMID:23175605,http://www.ebi.ac.uk/enzymeportal/faq,http://www.ebi.ac.uk/about/terms-of-use,http://www.ebi.ac.uk/support/,Maria Martin,Maria Martin,Protein and Protein Families?,B,Established
Europe PMC Accounts,https://europepmc.org/accounts/login,Save favourite searches ,EBI Tools|Europe PMC Tools,Literature and reference (topic_3068),Bibliography generation (operation_3349),,,Bibliography (data_3505),CSV (format_3475)|XML (format_2332),unpublished,https://europepmc.org/Help#whatEPMCAccount,,helpdesk@europepmc.org,Jo McEntyre (mcentyre@ebi.ac.uk),Jo McEntyre,Cross Domain,B,
Europe PMC ORCID Tool,http://europepmc.org/orcid/import,A Europe PMC tool that allows article authors to build a bibliography and export it to ORCID.,EBI Tools|Europe PMC Tools,Literature and reference (topic_3068),Bibliography generation (operation_3349),,,Bibliography (data_3505),XML (format_2332),PMID:25378340,http://europepmc.org/orcid/import,http://www.ebi.ac.uk/about/terms-of-use,helpdesk@europepmc.org,Jo McEntyre (mcentyre@ebi.ac.uk),Jo McEntyre,Cross-domain,B,
Europe PMC plus Grant Linking,http://plus.europepmc.org/emss/login/uls.cgi?rss=wt&url=/plus/menu.html,Authors use Europe PMC plus to link grants to their articles.,EBI Tools|Europe PMC Tools,Literature and reference (topic_3068),Bibliography generation (operation_3349),,,Bibliography (data_3505),CSV (format_3475)|XML (format_2332),unpublished,http://plus.europepmc.org/emss/login/uls.cgi?rss=wt&url=/plus/menu.html,http://www.ebi.ac.uk/about/terms-of-use,helpdesk@europepmc.org,Jo McEntyre (mcentyre@ebi.ac.uk),Jo McEntyre,Cross Domain - hosted at University of Manchester,B,
Europe PMC plus Manuscript Submission System (MSS),http://plus.europepmc.org/emss/login/uls.cgi?rss=wt&url=/plus/menu.html,Anyone from at least one of the Europe PMC Funders can submit an author manuscript for inclusion in Europe PubMed Central. Publishers can also submit manuscripts on behalf of authors,EBI Tools|Europe PMC Tools,"Literature and reference (topic_3068)|Data submission, annotation and curation (topic_0219)",Deposition (operation_3431),Article (data_0971),docx (format_3506)|PDF (format_3508),,XML (format_2332),unpublished,http://plus.europepmc.org/emss/login/uls.cgi?rss=wt&url=/plus/menu.html,http://www.ebi.ac.uk/about/terms-of-use,helpdesk@europepmc.org,Jo McEntyre (mcentyre@ebi.ac.uk),Jo McEntyre,Cross Domain - hosted at University of Manchester,B,
FASTA,http://www.ebi.ac.uk/Tools/sss/fasta/,"Sequence similarity searching against protein databases using the FASTA suite. FASTX and FASTY translate a DNA query. Optimal searches with SSEARCH (local), GGSEARCH (global) and GLSEARCH (global query, local database)",EBI Tools,Sequence analysis (topic_0080)|Nucleic acids (topic_0077)|Proteins (topic_0078),Sequence similarity search (operation_0346),Sequence (data_2044),,Sequence search results (data_0857),,PMID:18428723,http://www.ebi.ac.uk/Tools/sss/FASTA/,http://www.ebi.ac.uk/about/terms-of-use,http://www.ebi.ac.uk/support/,Web Production (es-request@ebi.ac.uk),Tools Committee,T,A,Established
PDBeXplore: sequence similarity search of the PDB,http://www.ebi.ac.uk/pdbe-srv/PDBeXplore/sequence/,Search and alignment of protein sequences in PDB against a user sequence,EBI Tools|PDBe Tools,Sequence analysis (topic_0080)|Proteins (topic_0078),Sequence similarity search (operation_0346)|Pairwise sequence alignment (operation_0491),Protein sequence (data_2976),FASTA / uniprot id / raw sequence / PDB chain id + chain ID,Sequence search results (data_0857)|Protein report (data_0896)|Small molecule report (data_0962),html,PMID:22110033,http://www.ebi.ac.uk/pdbe/?tab=home&subtab=sequencesearch,http://www.ebi.ac.uk/about/terms-of-use,pdbhelp@ebi.ac.uk,Jose Dana (dana@ebi.ac.uk),Gerard Kleywegt,MCS,B,Established
FASTM,http://www.ebi.ac.uk/Tools/sss/fastm/," Sequence similarity search with peptide fragment searches using the FASTF, FASTM or FASTS programs from the FASTA suite",EBI Tools,Sequence analysis (topic_0080)|Proteins (topic_0078),Sequence similarity search (operation_0346),Protein sequence (data_2976),,Sequence search results (data_0857),,PMID:18428723,http://www.ebi.ac.uk/Tools/sss/fastm/,http://www.ebi.ac.uk/about/terms-of-use,http://www.ebi.ac.uk/support/,Web Production (es-request@ebi.ac.uk),Tools Committee,T,A,Established
FingerPRINTScan,http://www.ebi.ac.uk/Tools/pfa/fingerprintscan/,Scan a protein sequence against PRINTS to identify the closest matching PRINTS sequence motifs/fingerprints,EBI Tools,"Protein families (topic_0724)|Protein sites, features and motifs (topic_3510)|Proteins (topic_0078)",Protein sequence feature detection (operation_3087)|Sequence signature recognition (operation_0239),Protein sequence (data_2976),,Sequence signature matches (data_0858)|Protein features (data_1277),,,http://www.ebi.ac.uk/Tools/pfa/fingerprintscan/,http://www.ebi.ac.uk/about/terms-of-use,http://www.ebi.ac.uk/support/,Web Production (es-request@ebi.ac.uk),Rob Finn,T,B,Retiring
GeneWise,http://www.ebi.ac.uk/Tools/psa/genewise/," Compare a protein sequence to a genomic DNA sequence, allowing for introns and frameshifting errors",EBI Tools,"Sequence analysis (topic_0080)|Nucleic acid sites, features and motifs (topic_3511)|Proteins (topic_0078)|Nucleic acids (topic_0077)",Pairwise sequence alignment (operation_0491)|Local sequence alignment (operation_0495),Protein sequence (data_2976)|DNA sequence (data_3494),,Sequence alignment (pair) (data_1381),,PMID:15123596,http://www.ebi.ac.uk/Tools/psa/genewise/,http://www.ebi.ac.uk/about/terms-of-use,http://www.ebi.ac.uk/support/,Web Production (es-request@ebi.ac.uk),Tools Committee,T,A,Established
GPCR SARfari  BLAST Search,https://www.ebi.ac.uk/chembl/sarfari/gpcrsarfari/protein,BLAST search of against GPCR domains stored in GPCR SARfari ,EBI Tools|ChEMBL Tools,Sequence analysis (topic_0080)|Membrane and lipoproteins (topic_0820)|Cheminformatics (topic_2258),Sequence similarity search (operation_0346),Protein sequence (data_2976),FASTA (format_1929),Sequence search results (data_0857),,PMID:2231712,https://www.ebi.ac.uk/chembl/sarfari/gpcrsarfari/protein,http://www.ebi.ac.uk/about/terms-of-use,chembl-help@ebi.ac.uk,Michal Nowotka (mnowotka@ebi.ac.uk),Anne Hersey,Chemistry,B,Established
GPCR SARfari Small Molecule Search,https://www.ebi.ac.uk/chembl/sarfari/gpcrsarfari/compound,Search against small molecules stored in GPCR SARfari database,EBI Tools|ChEMBL Tools,Membrane and lipoproteins (topic_0820)|Cheminformatics (topic_2258),Structure databases search (operation_0339),Chemical structure sketch (data_3490),,Chemical structure report (data_0962),,PMID:23694746,https://www.ebi.ac.uk/chembl/sarfari/gpcrsarfari/compound,http://www.ebi.ac.uk/about/terms-of-use,chembl-help@ebi.ac.uk,Michal Nowotka (mnowotka@ebi.ac.uk),Anne Hersey,Chemistry,B,Established
HMMER hmmscan,http://www.ebi.ac.uk/Tools/pfa/hmmer_hmmscan/,Scan a protein sequence against a database of HMM profiles (e.g. TreeFam or Pfam-A),EBI Tools,"Protein families (topic_0724)|Protein sites, features and motifs (topic_3510)|Proteins (topic_0078)",Protein sequence feature detection (operation_3087)|Sequence signature recognition (operation_0239),Protein sequence (data_2976),FASTA,Sequence signature matches (data_0858)|Protein features (data_1277),RAW HMMER format,PMID:25943547,http://www.ebi.ac.uk/Tools/pfa/hmmer_hmmscan/,http://www.ebi.ac.uk/about/terms-of-use,http://www.ebi.ac.uk/support/,Web Production (es-request@ebi.ac.uk),Rob Finn,T,B,Established
ID History converter,http://www.ensembl.org/Multi/Tools/IDMapper,Convert a set of Ensembl IDs from a previous release into their current equivalents,EBI Tools|Ensembl Tools,Data identity and mapping (topic_3345),ID mapping (operation_3282),Ensembl IDs (data_2610),Textual format (format_2330),Ensembl IDs (data_2610),Textual format (format_2330),PMID:17148474,http://www.ensembl.org/Help/View?id=560,http://www.ebi.ac.uk/about/terms-of-use,http://www.ensembl.org/Help/Contact,Andrew Yates (ayates@ebi.ac.uk),Andy Yates,GGV,B,Established
Identifiers.org resolver,http://identifiers.org/,Resolver of URIs,EBI Tools,Data identity and mapping (topic_3345),ID mapping (operation_3282)|Metadata retrieval (operation_0304),URIs (data_1047),,Database metadata (data_0957)|Database entry metadata (data_2193),html / rdf,PMID:22140103,http://identifiers.org/help,http://www.ebi.ac.uk/about/terms-of-use,biomodels-net-support@lists.sf.net,Sarala Wimalaratne sarala@ebi.ac.uk,Henning Hermjakob,Molecular Systems,B,Established
IntAct Editor,http://www.ebi.ac.uk/intact/editor,Online editor of the IntAct database - this tool is aimed at internal and external IntAct curators,EBI Tools,"Protein interactions (topic_0128)|Data submission, annotation and curation (topic_0219)|Systems biology (topic_2259)",Annotation (operation_0226)|Deposition (operation_3431),Article ,PSi-MI XML,Protein interaction record (data_0906),"mitab, PSI-MI XML, JSON, HTML, ",PMID:24234451 ,https://bitbucket.org/intact-ebi/intact-editor/,http://www.ebi.ac.uk/about/terms-of-use,intact-help@ebi.ac.uk,Maximilian (mkoch@ebi.ac.uk),Sandra Orchard,Molecular Systems,B,Established
InterProScan,http://www.ebi.ac.uk/interpro/interproscan.html,"Functional analysis of protein sequences by classifying them into families and predicting the presence of domains and important sites, via search of InterPro",EBI Tools,"Protein families (topic_0724)|Protein sites, features and motifs (topic_3510)|Proteins (topic_0078)",Protein sequence feature detection (operation_3087)|Sequence signature recognition (operation_0239)|Protein family and domain recognition (operation_0246),Protein sequence (data_2976),,Sequence signature matches (data_0858)|Protein features (data_1277)|Ontology terms (data_0966),,"PMID: 24451626
PMCID: PMC3998142",http://www.ebi.ac.uk/interpro/,http://www.ebi.ac.uk/about/terms-of-use,http://www.ebi.ac.uk/support/interpro-general-query,InterPro development team (interpro-team@ebi.ac.uk),Rob Finn,PPF,B,Established
InterProScan 4,http://www.ebi.ac.uk/Tools/pfa/iprscan/,Scan sequences against the InterPro protein signature databases,EBI Tools,"Protein families (topic_0724)|Protein sites, features and motifs (topic_3510)|Proteins (topic_0078)",Protein sequence feature detection (operation_3087)|Sequence signature recognition (operation_0239),Protein sequence (data_2976),,Sequence signature matches (data_0858)|Protein features (data_1277),,,http://www.ebi.ac.uk/Tools/pfa/iprscan/,http://www.ebi.ac.uk/about/terms-of-use,http://www.ebi.ac.uk/support/,Web Production (es-request@ebi.ac.uk),Rob Finn,T,B,Retiring
Kalign,http://www.ebi.ac.uk/Tools/msa/kalign/,Fast and accurate multiple sequence alignment which handles large sequences,EBI Tools,Sequence analysis (topic_0080)|Proteins (topic_0078)|Nucleic acids (topic_0077),Multiple sequence alignment (operation_0492),Sequences (data_2044),,Sequence alignment (data_0863),,PMID:16343337 ,http://www.ebi.ac.uk/Tools/msa/kalign/,http://www.ebi.ac.uk/about/terms-of-use,http://www.ebi.ac.uk/support/,Web Production (es-request@ebi.ac.uk),Tools Committee,T,A,Established
Kinase SARfari  BLAST Search,https://www.ebi.ac.uk/chembl/sarfari/kinasesarfari/protein,BLAST search against Kinase domains stored in Kinase SARfari,EBI Tools|ChEMBL Tools,Sequence analysis (topic_0080)|Cheminformatics (topic_2258)|Drug discovery (topic_3336),Sequence similarity search (operation_0346),Protein sequence (data_2976),FASTA (format_1929),Sequence search results (data_0857),,PMID:2231712,https://www.ebi.ac.uk/chembl/sarfari/kinasesarfari/protein,http://www.ebi.ac.uk/about/terms-of-use,chembl-help@ebi.ac.uk,Michal Nowotka (mnowotka@ebi.ac.uk),Anne Hersey,Chemistry,B,Established
Kinase SARfari Small Molecule Search,https://www.ebi.ac.uk/chembl/sarfari/kinasesarfari/compound,Search against small molecules stored in Kinase SARfari database,EBI Tools|ChEMBL Tools,Cheminformatics (topic_2258)|Drug discovery (topic_3336),Structure databases search (operation_0339),Chemical structure sketch (data_3490),,Chemical structure report (data_0962),,PMID:23694746,https://www.ebi.ac.uk/chembl/sarfari/kinasesarfari/compound,http://www.ebi.ac.uk/about/terms-of-use,chembl-help@ebi.ac.uk,Michal Nowotka (mnowotka@ebi.ac.uk),Anne Hersey,Chemistry,B,Established
LALIGN,http://www.ebi.ac.uk/Tools/psa/lalign/,Find internal duplications by calculating non-intersecting local sequence alignments,EBI Tools,"Sequence analysis (topic_0080)|Sequence composition, complexity and repeats (topic_0157)|Proteins (topic_0078)|Nucleic acids (topic_0077)",Pairwise sequence alignment (operation_0491)|Local sequence alignment (operation_0495)|Sequence feature detection (operation_0253),Sequences (data_2044),,Sequence alignment (pair) (data_1381),,PMID:18428723,http://www.ebi.ac.uk/Tools/psa/lalign/,http://www.ebi.ac.uk/about/terms-of-use,http://www.ebi.ac.uk/support/,Web Production (es-request@ebi.ac.uk),Tools Committee,T,A,Established
LigSearch,http://www.ebi.ac.uk/thornton-srv/databases/LigSearch,Identifies small molecules likely to bind to given protein,EBI Tools|Thornton Tools,Protein structure analysis (topic_2814)|Protein interactions (topic_0128)|Proteins (topic_0078),Protein binding site prediction (from sequence) (operation_0419),Protein sequence (data_2976),PDB code file / UniProt ID / or pasted protein sequence,Protein-ligand interaction report (data_1566),HTML,PMID:24311580,http://www.ebi.ac.uk/thornton-srv/databases/LigSearch/help.html,http://www.ebi.ac.uk/about/terms-of-use,marcus@ebi.ac.uk,Roman Laskowski (roman@ebi.ac.uk),Janet Thornton,R,C,Young
LipidHome,http://wwwdev.ebi.ac.uk/metabolights/lipidhome/,LipidHome is a database of theoretical lipid structures derived from a seed set of lipid sub classes and some lipid chemical space constraints agreed upon with experts in the field.,,,,,,,,PMID:23667450,Not available yet,,pmoreno@ebi.ac.uk,Pablo Moreno,Christoph Steinbeck,Chemistry and Molecular Resources Cluster,C,Nascent
MACiE,http://www.ebi.ac.uk/thornton-srv/databases/MACiE/,"Mechanism, Annotation and Classification in Enzymes. Query for an enzyme, and return enzyme mechanism.",EBI Tools|Thornton Tools,Enzymes (topic_0821)|Proteins (topic_0078)|Protein families (topic_0724),Query and retrieval (operation_0224),Protein sequence (data_2976),"Enzyme name, EC number, PDB code, CATH code, pasted protein sequence",Report on enzyme mechanism,HTML,PMID:22058127,http://www.ebi.ac.uk/thornton-srv/databases/MACiE/documentation/index.html,http://www.ebi.ac.uk/about/terms-of-use,http://www.ebi.ac.uk/support/,Roman Laskowski (roman@ebi.ac.uk),Janet Thornton,R,C,Established
MAFFT,http://www.ebi.ac.uk/Tools/msa/mafft/,High speed multiple sequence alignment using Fast Fourier Transform and capable of handling large sequences,EBI Tools,Sequence analysis (topic_0080)|Proteins (topic_0078)|Nucleic acids (topic_0077),Multiple sequence alignment (operation_0492),Sequences (data_2044),,Sequence alignment (data_0863),,PMID:23329690,http://www.ebi.ac.uk/Tools/msa/mafft/,http://www.ebi.ac.uk/about/terms-of-use,http://www.ebi.ac.uk/support/,Web Production (es-request@ebi.ac.uk),Tools Committee,T,A,Established
MageComet,http://www.ebi.ac.uk/fgpt/sw/magecomet,"MageComet is an online tool that facilitates curation of MAGE-TAB. It combines text-mining and the Experimental Factor Ontology (EFO) to create a semi-automatic environment for faster annotation, guided data-manipulation and content summary",EBI Tools|Parkinson Tools,"Data submission, annotation and curation (topic_0219)|Ontology and terminology (topic_0089)",Annotation (operation_0226),,,,,,http://www.ebi.ac.uk/fgpt/sw/magecomet,http://www.apache.org/licenses/LICENSE-2.0,http://www.ebi.ac.uk/support/,Tony Burdett (tburdett@ebi.ac.uk),Helen Parkinson,Cross-domain,B,Retiring
Malaria Data BLAST Search,https://www.ebi.ac.uk/chembl/malaria/target,BLAST search against protein targets stored in Malaria Data database,EBI Tools|ChEMBL Tools,Sequence analysis (topic_0080)|Cheminformatics (topic_2258),Sequence similarity search (operation_0346),Protein sequence (data_2976),FASTA (format_1929),Sequence search results (data_0857),,PMID:2231712,https://www.ebi.ac.uk/chembl/malaria/target,http://www.ebi.ac.uk/about/terms-of-use,chembl-help@ebi.ac.uk,Michal Nowotka (mnowotka@ebi.ac.uk),Anne Hersey,Chemistry,B,Established
Malaria Data Small Molecule Search,https://www.ebi.ac.uk/chembl/malaria/compound,Search against small molecules stored in Malaria Data database,EBI Tools|ChEMBL Tools,Cheminformatics (topic_2258),Structure databases search (operation_0339),Chemical structure sketch (data_3490),,Chemical structure report (data_0962),,PMID:23694746,https://www.ebi.ac.uk/chembl/malaria/compound,http://www.ebi.ac.uk/about/terms-of-use,chembl-help@ebi.ac.uk,Michal Nowotka (mnowotka@ebi.ac.uk),Anne Hersey,Chemistry,B,Established
MapMi,http://www.ebi.ac.uk/enright-srv/MapMi/,"MapMi is a tool designed to locate miRNA precursor sequences in existing genomic sequences (e.g Ensembl and Ensembl Metazoa), using potential mature miRNA sequences as input",EBI Tools,"Functional, regulatory and non-coding RNA (topic_0659)|NGS (topic_3168)",microRNA detection (operation_0463),,,,,PMID:20233390,http://www.ebi.ac.uk/enright-srv/MapMi/,http://www.ebi.ac.uk/about/terms-of-use,http://www.ebi.ac.uk/support/,Anton Enright (aje@ebi.ac.uk),Anton Enright,R,C,Established
MUSCLE,http://www.ebi.ac.uk/Tools/msa/muscle/,Sequence alignment using the Multiple Sequence Comparison by Log-Expectation (MUSCLE) method,EBI Tools,Sequence analysis (topic_0080)|Proteins (topic_0078)|Nucleic acids (topic_0077),Multiple sequence alignment (operation_0492),Sequences (data_2044),,Sequence alignment (data_0863),,PMID:15318951,http://www.ebi.ac.uk/Tools/msa/muscle/,http://www.ebi.ac.uk/about/terms-of-use,http://www.ebi.ac.uk/support/,Web Production (es-request@ebi.ac.uk),Tools Committee,T,A,Established
